"Date","Index","D12","E12","b/m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx"
"1873-09-01","4.59","0.3225","0.4525","NaN","NaN","NaN","NaN","NaN","NaN","0.01012577156336346","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1873-10-01","4.19","0.325","0.455","NaN","NaN","NaN","NaN","NaN","NaN","0.011746159302572654","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1873-11-01","4.04","0.3275","0.4575","NaN","NaN","NaN","NaN","NaN","NaN","0.010286467786573154","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1873-12-01","4.42","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.00684778242617494","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-01-01","4.66","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.005116653730809214","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-02-01","4.8","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.004058897780585596","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-03-01","4.73","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.004161784279247066","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-04-01","4.6","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.004242616245562377","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-05-01","4.48","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.0038089864899037715","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-06-01","4.46","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.0037354712815181462","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-07-01","4.46","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.0037722295612718022","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
